Date,Game #,Away,Home,Neutral,Score Away,Score Home,Notes
"Wednesday, October 21, 2026",1,Tom,Jon,N,,,
"Wednesday, October 21, 2026",1,Rick,KevinA,N,,,
"Wednesday, October 21, 2026",1,Sean,KevinL,N,,,
"Wednesday, October 21, 2026",1,Ted,Matt,N,,,
"Friday, October 23, 2026",2,Matt,Jon,N,,,
"Friday, October 23, 2026",2,KevinL,KevinA,N,,,
"Friday, October 23, 2026",2,Ted,Rick,N,,,
"Friday, October 23, 2026",2,Tom,Sean,N,,,
"Saturday, October 24, 2026",3,Sean,Jon,N,,,
"Saturday, October 24, 2026",3,Tom,KevinA,N,,,
"Saturday, October 24, 2026",3,Ted,KevinL,N,,,
"Saturday, October 24, 2026",3,Rick,Matt,N,,,
"Sunday, October 25, 2026",4,KevinA,Jon,N,,,
"Sunday, October 25, 2026",4,Rick,KevinL,N,,,
"Sunday, October 25, 2026",4,Sean,Matt,N,,,
"Sunday, October 25, 2026",4,Tom,Ted,N,,,
"Monday, October 26, 2026",5,Ted,Jon,N,,,
"Monday, October 26, 2026",5,Sean,KevinA,N,,,
"Monday, October 26, 2026",5,Matt,KevinL,N,,,
"Monday, October 26, 2026",5,Tom,Rick,N,,,
"Wednesday, October 28, 2026",6,Rick,Jon,N,,,
"Wednesday, October 28, 2026",6,Matt,KevinA,N,,,
"Wednesday, October 28, 2026",6,Tom,KevinL,N,,,
"Wednesday, October 28, 2026",6,Ted,Sean,N,,,
"Friday, October 30, 2026",7,KevinL,Jon,N,,,
"Friday, October 30, 2026",7,Ted,KevinA,N,,,
"Friday, October 30, 2026",7,Tom,Matt,N,,,
"Friday, October 30, 2026",7,Sean,Rick,N,,,
"Saturday, October 31, 2026",8,KevinA,Rick,N,,,
"Saturday, October 31, 2026",8,KevinL,Sean,N,,,
"Saturday, October 31, 2026",8,Matt,Ted,N,,,
"Saturday, October 31, 2026",8,Jon,Tom,N,,,
"Monday, November 2, 2026",9,KevinA,KevinL,N,,,
"Monday, November 2, 2026",9,Jon,Matt,N,,,
"Monday, November 2, 2026",9,Rick,Ted,N,,,
"Monday, November 2, 2026",9,Sean,Tom,N,,,
"Wednesday, November 4, 2026",10,Matt,Rick,N,,,
"Wednesday, November 4, 2026",10,Jon,Sean,N,,,
"Wednesday, November 4, 2026",10,KevinL,Ted,N,,,
"Wednesday, November 4, 2026",10,KevinA,Tom,N,,,
"Friday, November 6, 2026",11,Jon,KevinA,N,,,
"Friday, November 6, 2026",11,KevinL,Rick,N,,,
"Friday, November 6, 2026",11,Matt,Sean,N,,,
"Friday, November 6, 2026",11,Ted,Tom,N,,,
"Saturday, November 7, 2026",12,KevinL,Matt,N,,,
"Saturday, November 7, 2026",12,KevinA,Sean,N,,,
"Saturday, November 7, 2026",12,Jon,Ted,N,,,
"Saturday, November 7, 2026",12,Rick,Tom,N,,,
"Sunday, November 8, 2026",13,KevinA,Matt,N,,,
"Sunday, November 8, 2026",13,Jon,Rick,N,,,
"Sunday, November 8, 2026",13,Sean,Ted,N,,,
"Sunday, November 8, 2026",13,KevinL,Tom,N,,,
"Monday, November 9, 2026",14,Jon,KevinL,N,,,
"Monday, November 9, 2026",14,Rick,Sean,N,,,
"Monday, November 9, 2026",14,KevinA,Ted,N,,,
"Monday, November 9, 2026",14,Matt,Tom,N,,,
"Wednesday, November 11, 2026",15,Matt,Jon,N,,,
"Wednesday, November 11, 2026",15,Tom,KevinA,N,,,
"Wednesday, November 11, 2026",15,Sean,KevinL,N,,,
"Wednesday, November 11, 2026",15,Ted,Rick,N,,,
"Friday, November 13, 2026",16,Tom,Jon,N,,,
"Friday, November 13, 2026",16,Rick,KevinA,N,,,
"Friday, November 13, 2026",16,Ted,Matt,N,,,
"Friday, November 13, 2026",16,KevinL,Sean,N,,,
"Sunday, November 15, 2026",17,KevinL,KevinA,N,,,
"Sunday, November 15, 2026",17,Jon,Matt,N,,,
"Sunday, November 15, 2026",17,Tom,Sean,N,,,
"Sunday, November 15, 2026",17,Rick,Ted,N,,,
"Monday, November 16, 2026",18,Sean,Jon,N,,,
"Monday, November 16, 2026",18,Ted,KevinL,N,,,
"Monday, November 16, 2026",18,Rick,Matt,N,,,
"Monday, November 16, 2026",18,KevinA,Tom,N,,,
